,UU2010,LIBUU2010,DEP,ACT_IN,ACT_OUT,ACT_TOTAL,POP2010,LIBBIS
856,33303,Langon,33,1828,3677,5505,13379,Langon
857,33304,Biganos,33,2065,4634,6700,15724,Biganos
858,33305,Andernos-les-Bains,33,2231,3668,5899,17323,Andernos-les-Bains
859,33306,Saint-André-de-Cubzac,33,1819,6558,8378,18555,Saint-André-de-Cubzac
860,33401,Libourne,33,6510,7686,14198,34747,Libourne
861,33501,La Teste-de-Buch - Arcachon,33,9941,13062,23003,61457,La Teste-de-Buch - Arcachon
862,33701,Bordeaux,33,127379,238094,365474,843425,Bordeaux
863,34101,Pomérols,34,184,536,720,2177,Pomérols
864,34102,Saint-Drézéry,34,232,700,932,2156,Saint-Drézéry
865,34103,Saint-Martin-de-Londres,34,329,795,1124,2370,Saint-Martin-de-Londres
866,34104,Cers,34,144,672,816,2191,Cers
867,34105,Saint-Sériès,34,221,875,1096,2487,Saint-Sériès
868,34106,Colombiers,34,254,673,928,2335,Colombiers
869,34107,Montarnaud,34,214,961,1175,2524,Montarnaud
870,34108,Mudaison,34,264,892,1156,2498,Mudaison
871,34109,Montblanc,34,311,632,943,2594,Montblanc
872,34110,Caux,34,318,555,873,2509,Caux
873,34111,Magalas,34,404,698,1102,2977,Magalas
874,34112,Lansargues,34,234,923,1156,2744,Lansargues
875,34113,Aniane,34,326,801,1127,2773,Aniane
876,34114,Murviel-lès-Béziers,34,300,757,1058,2840,Murviel-lès-Béziers
877,34115,Puisserguier,34,372,660,1032,2853,Puisserguier
878,34116,Villeveyrac,34,438,868,1306,3164,Villeveyrac
879,34117,Capestang,34,524,576,1100,3033,Capestang
880,34118,Saint-Aunès,34,305,1153,1458,3041,Saint-Aunès
881,34119,Lespignan,34,284,856,1140,3120,Lespignan
882,34120,Beaulieu,34,310,1162,1471,3252,Beaulieu
883,34121,Portiragnes,34,398,620,1017,3160,Portiragnes
884,34122,Paulhan,34,377,901,1278,3648,Paulhan
885,34123,Nissan-lez-Enserune,34,463,944,1407,3652,Nissan-lez-Enserune
886,34124,Montagnac,34,456,684,1140,3593,Montagnac
887,34125,Montady,34,322,1121,1443,3959,Montady
888,34126,Canet,34,399,1268,1666,4157,Canet
889,34127,Sussargues,34,417,1451,1869,4259,Sussargues
890,34128,Servian,34,494,1058,1553,4193,Servian
891,34129,Cazouls-lès-Béziers,34,546,1130,1676,4461,Cazouls-lès-Béziers
892,34130,Florensac,34,668,960,1629,4882,Florensac
893,34131,Saint-Mathieu-de-Tréviers,34,618,1482,2100,4686,Saint-Mathieu-de-Tréviers
894,34132,Saint-André-de-Sangonis,34,668,1360,2028,5319,Saint-André-de-Sangonis
895,34201,Gignac,34,649,1518,2167,5447,Gignac
896,34202,Saint-Georges-d'Orques,34,472,1740,2212,5343,Saint-Georges-d'Orques
897,34203,Vias,34,711,946,1657,5354,Vias
898,34204,Castries,34,621,1875,2495,5752,Castries
899,34205,Mireval,34,576,2160,2736,6130,Mireval
900,34206,Palavas-les-Flots,34,821,1382,2203,5995,Palavas-les-Flots
901,34207,Pignan,34,552,2153,2705,6366,Pignan
902,34208,Bessan,34,830,1671,2501,6929,Bessan
903,34209,Ganges,34,882,1650,2534,7722,Ganges
904,34210,Marseillan,34,1263,1282,2545,7883,Marseillan
905,34211,Cournonterral,34,865,2689,3553,8328,Cournonterral
906,34212,Baillargues,34,807,2969,3776,8865,Baillargues
