,Unnamed: 0,Source,Target,O_AU2010,D_AU2010,O_DEP,D_DEP,O_LIBBIS,D_LIBBIS,O_DEP_NAME,D_DEP_NAME,Weight,O_ACT_OUT,O_ACT_TOTAL,D_ACT_OUT,D_ACT_TOTAL,Dist,Duration,D_ACT_IN
2987,2987,84107,754,997,16,84,84,Mondragon,Avignon,VAUCLUSE,VAUCLUSE,177,1068,1465,76038.0,138936.0,45084,2382,62898.0
2988,2988,84107,84301,997,307,84,84,Mondragon,Bollène,VAUCLUSE,VAUCLUSE,228,1068,1465,2430.0,4733.0,6567,609,2303.0
2989,2989,84108,84303,0,997,84,84,La Tour-d'Aigues,Pertuis,VAUCLUSE,VAUCLUSE,302,1024,1712,4186.0,7612.0,5644,515,3426.0
2991,2991,84110,754,16,16,84,84,Caumont-sur-Durance,Avignon,VAUCLUSE,VAUCLUSE,768,1460,1973,76038.0,138936.0,14472,1524,62898.0
2992,2992,84111,754,16,16,84,84,Camaret-sur-Aigues,Avignon,VAUCLUSE,VAUCLUSE,640,1596,2194,76038.0,138936.0,37400,2220,62898.0
2993,2993,84201,754,16,16,84,84,Piolenc,Avignon,VAUCLUSE,VAUCLUSE,874,2143,3060,76038.0,138936.0,35984,1766,62898.0
2994,2994,84202,84303,424,997,84,84,Cadenet,Pertuis,VAUCLUSE,VAUCLUSE,270,2041,3138,4186.0,7612.0,12991,1070,3426.0
2996,2996,84301,754,307,16,84,84,Bollène,Avignon,VAUCLUSE,VAUCLUSE,125,2430,4733,76038.0,138936.0,53307,2380,62898.0
2998,2998,84303,84108,997,0,84,84,Pertuis,La Tour-d'Aigues,VAUCLUSE,VAUCLUSE,164,4186,7612,1024.0,1712.0,5476,472,688.0
3084,3084,362,34701,282,15,30,34,Le Grau-du-Roi,Montpellier,GARD,HERAULT,739,823,2513,64191.0,150469.0,33878,2326,86278.0
3085,3085,463,362,153,282,30,34,Lunel,Le Grau-du-Roi,GARD,HERAULT,184,2709,3591,1448.0,2716.0,20735,1275,1268.0
3087,3087,463,34212,153,15,30,34,Lunel,Baillargues,GARD,HERAULT,143,2709,3591,2969.0,3776.0,11135,986,807.0
3088,3088,463,34304,153,15,30,34,Lunel,Mauguio,GARD,HERAULT,248,2709,3591,4480.0,6806.0,13573,1143,2326.0
3089,3089,463,34701,153,15,30,34,Lunel,Montpellier,GARD,HERAULT,3123,2709,3591,64191.0,150469.0,30697,2215,86278.0
3090,3090,30112,362,998,282,30,34,Saint-Laurent-d'Aigouze,Le Grau-du-Roi,GARD,HERAULT,141,1012,1432,1448.0,2716.0,16784,1113,1268.0
3091,3091,30112,34701,998,15,30,34,Saint-Laurent-d'Aigouze,Montpellier,GARD,HERAULT,133,1012,1432,64191.0,150469.0,44498,2682,86278.0
3092,3092,30119,463,997,153,30,34,Aimargues,Lunel,GARD,HERAULT,127,1116,1687,9525.0,14747.0,8851,830,5222.0
3093,3093,30119,34701,997,15,30,34,Aimargues,Montpellier,GARD,HERAULT,135,1116,1687,64191.0,150469.0,38937,2417,86278.0
3094,3094,30208,463,997,153,30,34,Sommières,Lunel,GARD,HERAULT,104,1833,2676,9525.0,14747.0,14396,1204,5222.0
3095,3095,30208,34701,997,15,30,34,Sommières,Montpellier,GARD,HERAULT,289,1833,2676,64191.0,150469.0,36858,2505,86278.0
3096,3096,30210,362,435,282,30,34,Aigues-Mortes,Le Grau-du-Roi,GARD,HERAULT,760,1936,3408,1448.0,2716.0,5976,498,1268.0
3097,3097,30210,34701,435,15,30,34,Aigues-Mortes,Montpellier,GARD,HERAULT,360,1936,3408,64191.0,150469.0,34128,2285,86278.0
3098,3098,30211,34701,997,15,30,34,Vergèze,Montpellier,GARD,HERAULT,122,2434,3348,64191.0,150469.0,40869,2506,86278.0
3099,3099,30302,34701,997,15,30,34,Vauvert,Montpellier,GARD,HERAULT,159,2326,3760,64191.0,150469.0,43488,2761,86278.0
3100,3100,30501,34701,78,15,30,34,Alès,Montpellier,GARD,HERAULT,121,18193,31400,64191.0,150469.0,94225,4576,86278.0
3101,3101,30601,463,40,153,30,34,Nîmes,Lunel,GARD,HERAULT,118,19476,61633,9525.0,14747.0,33459,2197,5222.0
3102,3102,30601,34701,40,15,30,34,Nîmes,Montpellier,GARD,HERAULT,1112,19476,61633,64191.0,150469.0,55700,3349,86278.0
3213,3213,456,552,200,141,30,13,Beaucaire,Arles,GARD,BOUCHES-DU-RHONE,693,2701,5601,5503.0,18994.0,18932,1430,13491.0
3214,3214,456,13302,200,319,30,13,Beaucaire,Saint-Rémy-de-Provence,GARD,BOUCHES-DU-RHONE,187,2701,5601,2629.0,5373.0,17247,1447,2744.0
3215,3215,552,456,141,200,30,13,Arles,Beaucaire,GARD,BOUCHES-DU-RHONE,417,1084,1340,2308.0,4448.0,17057,1367,2140.0
3217,3217,552,759,141,3,30,13,Arles,Marseille - Aix-en-Provence,GARD,BOUCHES-DU-RHONE,1115,1084,1340,268025.0,591048.0,79518,3246,323023.0
3218,3218,552,13106,141,997,30,13,Arles,Fontvieille,GARD,BOUCHES-DU-RHONE,117,1084,1340,947.0,1371.0,10553,1099,424.0
3219,3219,552,13214,141,412,30,13,Arles,Port-Saint-Louis-du-Rhône,GARD,BOUCHES-DU-RHONE,216,1084,1340,1129.0,3036.0,40292,2214,1907.0
3220,3220,552,13301,141,997,30,13,Arles,Saint-Martin-de-Crau,GARD,BOUCHES-DU-RHONE,902,1084,1340,2439.0,4365.0,19307,1156,1926.0
3221,3221,552,13302,141,319,30,13,Arles,Saint-Rémy-de-Provence,GARD,BOUCHES-DU-RHONE,124,1084,1340,2629.0,5373.0,26150,1964,2744.0
